Year,PC Name,PC No,Type,State,Winning Candidate,Party,Electors,Votes,Margin
2014,Dumka,2,ST,Jharkhand,Shibu Soren,Jharkhand Mukti Morcha,1247155,903060,39030
2014,Durg,7,GEN,Chhattisgarh,Tamradhwaj Sahu,Indian National Congress,1855781,1258342,16848
2014,East Delhi,3,GEN,Delhi,Maheish Girri,Bharatiya Janta Party,1829578,1196336,190463
2014,Eluru,27,GEN,Andhra Pradesh,Maganti Venkateswara Rao (BABU),Telugu Desam,1427760,1201696,101926
2014,Ernakulam,12,GEN,Kerala,Prof. K.V. Thomas,Indian National Congress,1156467,850834,87047
2014,Erode,17,GEN,Tamil Nadu,Selvakumara Chinnayan S,All India Anna Dravida Munnetra Kazhagam,1321395,1008582,211563
2014,Etah,22,GEN,Uttar Pradesh,Rajveer Singh (RAJU BHAIYA),Bharatiya Janta Party,1577457,926281,201001
2014,Etawah,41,SC,Uttar Pradesh,Ashok Kumar Doharey,Bharatiya Janta Party,1707237,939604,172946
2014,Faizabad,54,GEN,Uttar Pradesh,Lallu Singh,Bharatiya Janta Party,1738701,1022716,282775
2014,Faridabad,10,GEN,Haryana,Krishan Pal,Bharatiya Janta Party,1740352,1130726,466873
2014,Faridkot,9,SC,Punjab,Prof. Sadhu Singh,Aam Aadmi Party,1455075,1032107,172516
2014,Farrukhabad,40,GEN,Uttar Pradesh,Mukesh Rajput,Bharatiya Janta Party,1613781,970677,150502
2014,Fatehgarh Sahib,8,SC,Punjab,Harinder Singh Khalsa,Aam Aadmi Party,1396957,1030954,54144
2014,Fatehpur,49,GEN,Uttar Pradesh,Niranjan Jyoti,Bharatiya Janta Party,1804777,1056688,187206
2014,Fatehpur Sikri,19,GEN,Uttar Pradesh,Babulal,Bharatiya Janta Party,1580582,967968,173106
2014,Ferozpur,10,GEN,Punjab,Sher Singh Ghubaya,Shiromani Akali Dal,1522111,1105412,31420
2014,Firozabad,20,GEN,Uttar Pradesh,Akshay Yadav,Samajwadi Party,1636738,1104606,114059
2014,Gadchiroli-Chimur,12,ST,Maharashtra,Ashok Mahadeorao Nete,Bharatiya Janta Party,1469767,1027129,236870
2014,Gandhinagar,6,GEN,Gujarat,L.K.Advani,Bharatiya Janta Party,1733972,1135495,483121
2014,Ganganagar,1,SC,Rajasthan,Nihalchand,Bharatiya Janta Party,1718421,1256806,291741
2014,Garhwal,2,GEN,Uttarakhand,(MAJ GEN (RETD.) ) BHUWAN CHANDRA KHANDURI (AVSM),Bharatiya Janta Party,1269083,682024,184526
2014,Gauhati,7,GEN,Assam,Bijoya Chakravarty,Bharatiya Janta Party,1922270,1511729,315784
2014,Gautam Buddh Nagar,13,GEN,Uttar Pradesh,Dr.Mahesh Sharma,Bharatiya Janta Party,1986117,1199238,280212
2014,Gaya,38,SC,Bihar,Hari Manjhi,Bharatiya Janta Party,1500751,809378,115504
2014,Ghatal,32,GEN,West Bengal,Adhikari Deepak (DEV),All India Trinamool Congress,1610489,1366709,260891
2014,Ghaziabad,12,GEN,Uttar Pradesh,Vijay Kumar Singh,Bharatiya Janta Party,2357546,1342320,567260
2014,Ghazipur,75,GEN,Uttar Pradesh,Manoj Sinha,Bharatiya Janta Party,1801519,986673,32452
2014,Ghosi,70,GEN,Uttar Pradesh,Harinarayan Rajbhar,Bharatiya Janta Party,1891113,1039656,146015
2014,Giridih,6,GEN,Jharkhand,Ravindra Kumar Pandey,Bharatiya Janta Party,1515137,969997,40313
2014,Godda,3,GEN,Jharkhand,Nishikant Dubey,Bharatiya Janta Party,1590628,1049442,60682
2014,Gonda,59,GEN,Uttar Pradesh,Kirti Vardhan Singh,Bharatiya Janta Party,1710827,873732,160416
2014,Gopalganj,17,SC,Bihar,Janak Ram,Bharatiya Janta Party,1652767,903583,286936
2014,Gorakhpur,64,GEN,Uttar Pradesh,Adityanath,Bharatiya Janta Party,1904498,1040199,312783
2014,Gulbarga,5,SC,Karnataka,Mallikarjun Kharge,Indian National Congress,1721990,997638,74733
2014,Guna,4,GEN,Madhya Pradesh,Jyotiraditya M Scindia,Indian National Congress,1605619,976629,120792
2014,Guntur,30,GEN,Andhra Pradesh,Jayadev Galla,Telugu Desam,1572016,1244926,69111
2014,Gurdaspur,1,GEN,Punjab,Vinod Khanna,Bharatiya Janta Party,1500337,1042699,136065
2014,Gurgaon,9,GEN,Haryana,Inderjit Singh Rao,Bharatiya Janta Party,1845623,1320619,274722
2014,Gwalior,3,GEN,Madhya Pradesh,Narendra Singh Tomar,Bharatiya Janta Party,1877003,990912,29699
2014,Hajipur,21,SC,Bihar,Ramvilas Paswan,Lok Jan Shakti Party,1649547,904753,225500
2014,Hamirpur,3,GEN,Himachal Pradesh,Anurag Singh Thakur,Bharatiya Janta Party,1247699,835205,98403
2014,Hamirpur,47,GEN,Uttar Pradesh,Kunwar Pushpendra Singh Chandel,Bharatiya Janta Party,1737993,975240,266788
2014,Hardoi,31,SC,Uttar Pradesh,Anshul Verma,Bharatiya Janta Party,1714387,972894,81343
2014,Hardwar,5,GEN,Uttarakhand,Ramesh Pokhriyal Nishank,Bharatiya Janta Party,1642873,1175692,177822
2014,Hassan,16,GEN,Karnataka,H.D. Devegowda,Janata Dal (Secular),1561336,1147172,100462
2014,Hathras,16,SC,Uttar Pradesh,Rajesh Kumar Diwaker,Bharatiya Janta Party,1758927,1049273,326386
2014,Hatkanangle,48,GEN,Maharashtra,Raju Shetty,Swabhimani Paksha,1630598,1188871,177810
2014,Haveri,10,GEN,Karnataka,Udasi Shivakumar Channabasappa,Bharatiya Janta Party,1558749,1115968,87571
2014,Hazaribagh,14,GEN,Jharkhand,Jayant Sinha,Bharatiya Janta Party,1518831,967152,159128
2014,Hindupur,37,GEN,Andhra Pradesh,Kristappa Nimmala,Telugu Desam,1446503,1177257,97325
2014,Hingoli,15,GEN,Maharashtra,Rajeev Shankarrao Satav,Indian National Congress,1586194,1051164,1632
2014,Hisar,4,GEN,Haryana,Dushyant Chautala,Indian National Lok Dal,1517606,1155914,31847
2014,Hooghly,28,GEN,West Bengal,Dr. Ratna De (NAG),All India Trinamool Congress,1630042,1348870,189084
2014,Hoshangabad,17,GEN,Madhya Pradesh,Uday Pratap Singh,Bharatiya Janta Party,1568127,1031175,389960
2014,Hoshiarpur,5,SC,Punjab,Vijay Sampla,Bharatiya Janta Party,1485286,961297,13582
2014,Howrah,25,GEN,West Bengal,Prasun Banerjee,All India Trinamool Congress,1505099,1125399,196956
2014,Hyderabad,9,GEN,Telangana,Asaduddin Owaisi,All India Majlis-E-Ittehadul Muslimoon,1823664,971421,202454
2014,Idukki,13,GEN,Kerala,Adv.Joice George,Independent,1158735,819766,50542
2014,Indore,26,GEN,Madhya Pradesh,Sumitra Mahajan (TAI),Bharatiya Janta Party,2115303,1316817,466901
2014,Inner Manipur,1,GEN,Manipur,Dr. Thokchom Meinya,Indian National Congress,855359,640871,94674
2014,Jabalpur,13,GEN,Madhya Pradesh,Rakesh Singh,Bharatiya Janta Party,1711683,1002184,208639
2014,Jadavpur,22,GEN,West Bengal,Sugata Bose,All India Trinamool Congress,1595746,1272362,125203
2014,Jagatsinghpur,16,SC,Orissa,Kulamani Samal,Biju Janata Dal,1499673,1131932,276394
2014,Jahanabad,36,GEN,Bihar,Dr. Arun Kumar,Rashtriya Lok Samta Party,1423246,811516,42340
2014,Jaipur,7,GEN,Rajasthan,Ramcharan Bohara,Bharatiya Janta Party,1957818,1296806,539345
2014,Jaipur Rural,6,GEN,Rajasthan,Rajyavardhan Singh Rathore,Bharatiya Janta Party,1699462,1013691,332896
2014,Jajpur,8,SC,Orissa,Rita Tarai,Biju Janata Dal,1303733,980435,320271
2014,Jalandhar,4,SC,Punjab,Santokh Singh Chaudhary,Indian National Congress,1551497,1040762,70981
2014,Jalaun,45,SC,Uttar Pradesh,Bhanu Pratap Singh Verma,Bharatiya Janta Party,1903332,1109166,287202
2014,Jalgaon,3,GEN,Maharashtra,A.T. Nana Patil,Bharatiya Janta Party,1707933,990332,383525
2014,Jalna,18,GEN,Maharashtra,Danve Raosaheb Dadarao,Bharatiya Janta Party,1612054,1066259,206798
2014,Jalore,18,GEN,Rajasthan,Devji Patel,Bharatiya Janta Party,1824968,1087272,381145
2014,Jalpaiguri,3,SC,West Bengal,Bijoy Chandra Barman,All India Trinamool Congress,1531469,1302117,69606
2014,Jammu,6,GEN,Jammu & Kashmir,Jugal Kishore,Bharatiya Janta Party,1848155,1253593,257280
2014,Jamnagar,12,GEN,Gujarat,Poonamben Hematbhai Maadam,Bharatiya Janta Party,1470952,852643,175289
2014,Jamshedpur,9,GEN,Jharkhand,Bidyut Baran Mahato,Bharatiya Janta Party,1581665,1049140,99876
2014,Jamui,40,SC,Bihar,Chirag Kumar Paswan,Lok Jan Shakti Party,1550936,775639,85947
2014,Jangipur,9,GEN,West Bengal,Abhijit Mukherjee,Indian National Congress,1391656,1119084,8161
2014,Janjgir-Champa,3,SC,Chhattisgarh,Kamla Patle,Bharatiya Janta Party,1737532,1073347,174961
2014,Jaunpur,73,GEN,Uttar Pradesh,Krishna Pratap 'k.P.',Bharatiya Janta Party,1848842,1007143,146310
2014,Jhalawar-Baran,25,GEN,Rajasthan,Dushyant Singh,Bharatiya Janta Party,1669842,1146364,281546
2014,Jhanjharpur,7,GEN,Bihar,Birendra Kumar Chaudhary,Bharatiya Janta Party,1650753,941249,55408
2014,Jhansi,46,GEN,Uttar Pradesh,Uma Bharati,Bharatiya Janta Party,1932015,1320804,190467
2014,Jhargram,33,ST,West Bengal,Uma Saren,All India Trinamool Congress,1475112,1257613,347883
2014,Jhunjhunu,4,GEN,Rajasthan,Santosh Ahlawat,Bharatiya Janta Party,1696788,1006465,233835
2014,Jodhpur,16,GEN,Rajasthan,Gajendrasingh Shekhawat,Bharatiya Janta Party,1727363,1078598,410051
2014,Jorhat,12,GEN,Assam,Kamakhya Prasad Tasa,Bharatiya Janta Party,1234448,931336,102420
2014,Joynagar,19,SC,West Bengal,Pratima Mondal,All India Trinamool Congress,1458724,1186052,108384
2014,Junagadh,13,GEN,Gujarat,Chudasama Rajeshbhai Naranbhai,Bharatiya Janta Party,1485543,941378,135832
2014,Kachchh,1,SC,Gujarat,Chavda Vinod Lakhamashi,Bharatiya Janta Party,1533782,946240,254482
2014,Kadapa,38,GEN,Andhra Pradesh,Y.S. Avinash Reddy,Yuvajana Sramika Rythu Congress Party,1550579,1200662,190323
2014,Kairana,2,GEN,Uttar Pradesh,Hukum Singh,Bharatiya Janta Party,1531755,1119324,236828
2014,Kaiserganj,57,GEN,Uttar Pradesh,Brij Bhusan Sharan Singh,Bharatiya Janta Party,1711967,943357,78218
2014,Kakinada,23,GEN,Andhra Pradesh,Thota Narasimham,Telugu Desam,1418290,1099999,3431
2014,Kalahandi,11,GEN,Orissa,Arka Keshari Deo,Biju Janata Dal,1474135,1117536,56347
2014,Kaliabor,11,GEN,Assam,Gourav Gogoi,Indian National Congress,1457865,1166490,93874
2014,Kallakurichi,14,GEN,Tamil Nadu,Kamaraj. K,All India Anna Dravida Munnetra Kazhagam,1412499,1107241,223507
2014,Kalyan,24,GEN,Maharashtra,Dr.Shrikant Eknath Shinde,Shiv Sena,1922046,824196,250749
2014,Kancheepuram,6,SC,Tamil Nadu,Maragatham K,All India Anna Dravida Munnetra Kazhagam,1480123,1128399,146866
2014,Kandhamal,13,GEN,Orissa,Hemendra Chandra Singh,Biju Janata Dal,1143602,839415,181017
2014,Kangra,1,GEN,Himachal Pradesh,Shanta Kumar,Bharatiya Janta Party,1258601,799445,170072
2014,Kanker,11,ST,Chhattisgarh,Vikram Dev Usendi,Bharatiya Janta Party,1447774,1016943,35158
2014,Kannauj,42,GEN,Uttar Pradesh,Dimple Yadav,Samajwadi Party,1808889,1114460,19907
2014,Kanniyakumari,39,GEN,Tamil Nadu,Radhakrishnan P.,Bharatiya Janta Party,1467796,990742,128662
2014,Kannur,2,GEN,Kerala,P K Sreemathi Teacher,Communist Party Of India (MARXIST),1170266,947117,6566
2014,Kanpur,43,GEN,Uttar Pradesh,Dr.Murli Manohar Joshi,Bharatiya Janta Party,1611248,835079,222946
2014,Kanthi,31,GEN,West Bengal,Adhikari Sisir Kumar,All India Trinamool Congress,1490409,1290811,229490
2014,Karakat,35,GEN,Bihar,Upendra Kushwaha,Rashtriya Lok Samta Party,1569989,789927,105241
2014,Karauli-Dholpur,10,SC,Rajasthan,Manoj Rajoria,Bharatiya Janta Party,1549662,845941,27216
2014,Karimganj,1,SC,Assam,Radheshyam Biswas,All India United Democratic Front,1165997,886920,102094
2014,Karimnagar,3,GEN,Telangana,Vinod Kumar Boinapally,Telangana Rashtra Samithi,1550834,1125691,205077
2014,Karnal,5,GEN,Haryana,Ashwini Kumar,Bharatiya Janta Party,1684321,1193500,360147
2014,Karur,23,GEN,Tamil Nadu,"Thambidurai,m.",All India Anna Dravida Munnetra Kazhagam,1298322,1046534,195247
2014,Kasaragod,1,GEN,Kerala,P Karunakaran,Communist Party Of India (MARXIST),1243730,974215,6921
2014,Katihar,11,GEN,Bihar,Tariq Anwar,Nationalist Congress Party,1446478,977830,114740
2014,Kaushambi,50,SC,Uttar Pradesh,Vinod Kumar Sonkar,Bharatiya Janta Party,1738994,910038,42847
2014,Kendrapara,15,GEN,Orissa,Baijayant Panda,Biju Janata Dal,1555444,1140999,209108
2014,Keonjhar,4,ST,Orissa,Sakuntala Laguri,Biju Janata Dal,1346683,1083869,157317
2014,Khadoor Sahib,3,GEN,Punjab,Ranjit Singh Brahmpura,Shiromani Akali Dal,1563256,1040518,100569
2014,Khagaria,25,GEN,Bihar,Choudhary Mahboob Ali Kaiser,Lok Jan Shakti Party,1492068,896231,76003
2014,Khajuraho,8,GEN,Madhya Pradesh,Nagendra Singh,Bharatiya Janta Party,1702794,874477,247490
2014,Khammam,17,GEN,Telangana,Ponguleti Srinivasa Reddy,Yuvajana Sramika Rythu Congress Party,1440289,1182897,11974
2014,Khandwa,28,GEN,Madhya Pradesh,Nandkumar Singh Chouhan (NANDU BHAIYA),Bharatiya Janta Party,1759410,1257327,259714
2014,Khargone,27,ST,Madhya Pradesh,Subhash Patel,Bharatiya Janta Party,1703271,1152525,257879
2014,Kheda,17,GEN,Gujarat,Chauhan Devusinh Jesingbhai (CHAUHAN DEVUSINH),Bharatiya Janta Party,1599476,955906,232901
2014,Kheri,28,GEN,Uttar Pradesh,Ajay Kumar,Bharatiya Janta Party,1679466,1077868,110274
2014,Khunti,11,ST,Jharkhand,Karia Munda,Bharatiya Janta Party,1111852,736955,92248
2014,Kishanganj,10,GEN,Bihar,Mohammad Asrarul Haque,Indian National Congress,1438990,928490,194612
2014,Kodarma,5,GEN,Jharkhand,Ravindra Kr. Ray,Bharatiya Janta Party,1639629,1024906,98654
2014,Kokrajhar,5,ST,Assam,Naba Kumar Sarania (HIRA),Independent,1505476,1223869,355779
2014,Kolar,28,SC,Karnataka,K.H.Muniyappa,Indian National Congress,1492975,1127323,47850
2014,Kolhapur,47,GEN,Maharashtra,Dhananjay Bhimrao Mahadik,Nationalist Congress Party,1758300,1260289,33259
2014,Kolkata Dakshin,23,GEN,West Bengal,Subrata Bakshi,All India Trinamool Congress,1685296,1167979,136339
2014,Kolkata Uttar,24,GEN,West Bengal,Sudip Bandyopadhyay,All India Trinamool Congress,1433985,955778,96226
2014,Kollam,18,GEN,Kerala,N.K.Premachandran,Revolutionary Socialist Party,1219415,879056,37649
2014,Koppal,8,GEN,Karnataka,Karadi Sanganna Amarappa,Bharatiya Janta Party,1535105,1006508,32414
2014,Koraput,21,ST,Orissa,Jhina Hikaka,Biju Janata Dal,1300437,989444,19328
2014,Korba,4,GEN,Chhattisgarh,Dr. Banshilal Mahto,Bharatiya Janta Party,1419610,1052720,4265
2014,Kota,24,GEN,Rajasthan,Om Birla,Bharatiya Janta Party,1744539,1154960,200782
2014,Kottayam,14,GEN,Kerala,Jose K. Mani,Kerala Congress(M),1161463,831636,120599
2014,Kozhikode,5,GEN,Kerala,M .K Raghavan,Indian National Congress,1182484,943009,16883
2014,Krishnagiri,9,GEN,Tamil Nadu,Ashok Kumar.K,All India Anna Dravida Munnetra Kazhagam,1379957,1068391,206591
2014,Krishnanagar,12,GEN,West Bengal,Tapas Paul,All India Trinamool Congress,1476783,1247914,71255
2014,Kurnool,35,GEN,Andhra Pradesh,Butta Renuka,Yuvajana Sramika Rythu Congress Party,1481807,1065732,44131
2014,Kurukshetra,2,GEN,Haryana,Raj Kumar Saini,Bharatiya Janta Party,1498459,1135892,129736
2014,Kushi Nagar,65,GEN,Uttar Pradesh,Rajesh Pandey Urf Guddu,Bharatiya Janta Party,1680992,950445,85540
2014,Ladakh,4,GEN,Jammu & Kashmir,Thupstan Chhewang,Bharatiya Janta Party,166763,118029,36
2014,Lakhimpur,14,GEN,Assam,Sarbananda Sonowal,Bharatiya Janta Party,1430994,1111975,292138
2014,Lakshadweep,1,ST,Lakshadweep,Mohammed Faizal P.P.,Nationalist Congress Party,49922,43239,1535
2014,Lalganj,68,SC,Uttar Pradesh,Neelam Sonkar,Bharatiya Janta Party,1661483,898655,63086
2014,Latur,41,SC,Maharashtra,Dr. Sunil Baliram Gaikwad,Bharatiya Janta Party,1682607,1057156,253395
2014,Lohardaga,12,ST,Jharkhand,Sudarshan Bhagat,Bharatiya Janta Party,1119144,651460,6489
2014,Lucknow,35,GEN,Uttar Pradesh,Raj Nath Singh,Bharatiya Janta Party,1949956,1033783,272749
2014,Ludhiana,7,GEN,Punjab,Ravneet Singh Bittu,Indian National Congress,1561201,1100457,19709
2014,Machhlishahr,74,SC,Uttar Pradesh,Ram Charitra Nishad,Bharatiya Janta Party,1891969,997902,172155
2014,Machilipatnam,28,GEN,Andhra Pradesh,Konakalla Narayana Rao,Telugu Desam,1369311,1141065,81057
2014,Madha,43,GEN,Maharashtra,Mohite Patil Vijaysinh Shankarrao,Nationalist Congress Party,1727308,1079619,25344
2014,Madhepura,13,GEN,Bihar,Rajesh Ranjan @ Pappu Yadav,Rashtriya Janata Dal,1725578,1034799,56209
2014,Madhubani,6,GEN,Bihar,Hukm Deo Narayan Yadav,Bharatiya Janta Party,1627969,860453,20535
2014,Madurai,32,GEN,Tamil Nadu,R.Gopalakrishnan,All India Anna Dravida Munnetra Kazhagam,1441434,978346,197436
2014,Mahabubabad,16,ST,Telangana,Prof. Azmeera Seetaram Naik,Telangana Rashtra Samithi,1387343,1124370,34992
2014,Maharajganj,63,GEN,Uttar Pradesh,Pankaj,Bharatiya Janta Party,1743131,1056078,240458
2014,Maharajganj,19,GEN,Bihar,Janardan Singh Sigriwal,Bharatiya Janta Party,1644524,846654,38415
2014,Mahasamund,9,GEN,Chhattisgarh,Chandu Lal Sahu (CHANDU BHAIYA),Bharatiya Janta Party,1515747,1131209,1217
2014,Mahbubnagar,11,GEN,Telangana,Ap Jithender Reddy,Telangana Rashtra Samithi,1418672,1014800,2590
2014,Mahesana,4,GEN,Gujarat,Patel Jayshreeben Kanubhai,Bharatiya Janta Party,1498219,1004258,208891
2014,Mainpuri,21,GEN,Uttar Pradesh,Mulayam Singh Yadav,Samajwadi Party,1653065,999265,364666
