Year,PC Name,PC No,Type,State,Winning Candidate,Party,Electors,Votes,Margin
2019,Adilabad,1,ST,Telangana,Soyam Bapu Rao,Bharatiya Janta Party,1382837,1063730,58560
2019,Agra,18,SC,Uttar Pradesh,Satyapal Singh Baghel,Bharatiya Janta Party,1866262,1145323,211546
2019,Ahmadnagar,37,GEN,Maharashtra,Dr. Sujay Radhakrishna Vikhepatil,Bharatiya Janta Party,1793677,1203797,281474
2019,Ahmedabad East,7,GEN,Gujarat,Patel Hasmukhbhai Somabhai,Bharatiya Janta Party,1713598,1116367,434330
2019,Ahmedabad West,8,SC,Gujarat,Dr. Kirit P. Solanki,Bharatiya Janta Party,1580673,997024,321546
2019,Ajmer,13,GEN,Rajasthan,Bhagirath Chaudhary,Bharatiya Janta Party,1844532,1262214,416424
2019,Akbarpur,44,GEN,Uttar Pradesh,Devendra Singh 'bhole',Bharatiya Janta Party,1714490,1025314,275142
2019,Akola,6,GEN,Maharashtra,Dhotre Sanjay Shamrao,Bharatiya Janta Party,1757645,1119440,275596
2019,Alappuzha,15,GEN,Kerala,Adv. A M Ariff,Communist Party Of India (Marxist),1298061,1088728,10474
2019,Alathur,9,SC,Kerala,Ramya Haridas,Indian National Congress,1219063,1018743,158968
2019,Aligarh,15,GEN,Uttar Pradesh,Satish Kumar Gautam,Bharatiya Janta Party,1847005,1163184,229261
2019,Alipurduars,2,ST,West Bengal,John Barla,Bharatiya Janta Party,1527563,1380217,243989
2019,Allahabad,52,GEN,Uttar Pradesh,Rita Bahuguna Joshi,Bharatiya Janta Party,1679883,889056,184275
2019,Almora,3,SC,Uttarakhand,Ajay Tamta,Bharatiya Janta Party,1287611,694472,232986
2019,Alwar,8,GEN,Rajasthan,Balak Nath,Bharatiya Janta Party,2059180,1265674,329971
2019,Amalapuram,7,,Andhra Pradesh,Chinta Anuradha,Yuvajana Sramika Rythu Congress Party,1156280,1232895,39795
2019,Ambala,1,SC,Haryana,Rattan Lal Kataria,Bharatiya Janta Party,1757524,1316235,342345
2019,Ambedkar Nagar,55,GEN,Uttar Pradesh,Ritesh Pandey,Bahujan Samaj Party,1744287,1090152,95880
2019,Amethi,37,GEN,Uttar Pradesh,Smriti Irani,Bharatiya Janta Party,1703510,942453,55120
2019,Amravati,7,SC,Maharashtra,Navnit Ravi Rana,Independent,1752097,1112385,36951
2019,Amreli,14,GEN,Gujarat,Kachhadiya Naranbhai Bhikhabhai,Bharatiya Janta Party,1602346,909167,201431
2019,Amritsar,2,GEN,Punjab,Gurjeet Singh Aujla,Indian National Congress,1468972,859513,99626
2019,Amroha,9,GEN,Uttar Pradesh,Kunwar Danish Ali,Bahujan Samaj Party,1596897,1169182,63248
2019,Anakapalli,5,,Andhra Pradesh,Dr.Beesetti Venkata Satyavathi,Yuvajana Sramika Rythu Congress Party,1397335,1238491,89192
2019,Anand,16,GEN,Gujarat,Patel Mitesh Rameshbhai (BAKABHAI),Bharatiya Janta Party,1614307,1108661,197718
2019,Anandpur Sahib,6,GEN,Punjab,Manish Tewari,Indian National Congress,1648822,1081727,46884
2019,Anantapur,19,,Andhra Pradesh,Talari Rangaiah,Yuvajana Sramika Rythu Congress Party,1489758,1342306,141428
2019,Anantnag,3,,Jammu & Kashmir,Hasnain Masoodi,Jammu & Kashmir National Conference,1301023,124896,6676
2019,Andaman And Nicobar Islands,1,GEN,Andaman & Nicobar Islands,Kuldeep Rai Sharma,Indian National Congress,269360,207296,1407
2019,Aonla,24,GEN,Uttar Pradesh,Dharmendra Kashyap,Bharatiya Janta Party,1750190,1052795,113743
2019,Arakkonam,7,GEN,Tamil Nadu,S. Jagathrakshakan,Dravida Munetra Kazhagam,1461110,1178060,328956
2019,Arambagh,29,SC,West Bengal,Aparupa Poddar (AFRIN ALI),All India Trinamool Congress,1631133,1471981,1142
2019,Arani,12,GEN,Tamil Nadu,Vishnu Prasad M K,Indian National Congress,1407725,1143907,230806
2019,Araria,9,GEN,Bihar,Pradeep Kumar Singh,Bharatiya Janta Party,1469717,1169630,137241
2019,Arrah,32,GEN,Bihar,R. K. Singh,Bharatiya Janta Party,2055316,1080684,147285
2019,Aruku,1,,Andhra Pradesh,Goddeti. Madhavi,Yuvajana Sramika Rythu Congress Party,1358657,1074538,224089
2019,Arunachal East,2,GENP,Arunachal Pradesh,Tapir Gao,Bharatiya Janta Party,335682,293781,69948
2019,Arunachal West,1,GENP,Arunachal Pradesh,Kiren Rijiju,Bharatiya Janta Party,458680,358310,174843
2019,Asansol,40,GEN,West Bengal,Babul Supriyo,Bharatiya Janta Party,1770467,1238135,197637
2019,Aska,19,GEN,Orissa,Pramila Bisoyi,Biju Janata Dal,1494153,1013862,204707
2019,Attingal,19,GEN,Kerala,Adv. Adoor Prakash,Indian National Congress,1313675,1004888,38247
2019,Aurangabad,19,GEN,Maharashtra,Imtiaz Jaleel Syed,All India Majlis-E-Ittehadul Muslimeen,1762823,1198221,4492
2019,Aurangabad,37,GEN,Bihar,Sushil Kumar Singh,Bharatiya Janta Party,1737821,941595,72607
2019,Autonomous District,3,ST,Assam,Horen Sing Bey,Bharatiya Janta Party,761744,617735,239626
2019,Azamgarh,69,GEN,Uttar Pradesh,Akhilesh Yadav,Samajwadi Party,1773820,1029112,259874
2019,Badaun,23,GEN,Uttar Pradesh,Dr. Sanghmitra Maurya,Bharatiya Janta Party,2199914,1081108,18454
2019,Bagalkot,3,GEN,Karnataka,Gaddigoudar Parvatagouda Chandanagouda,Bharatiya Janta Party,1688394,1204613,168187
2019,Baghpat,11,GEN,Uttar Pradesh,Dr. Satyapal Singh,Bharatiya Janta Party,1558020,1044894,23502
2019,Baharampur,10,GEN,West Bengal,Adhir Ranjan Chowdhury,Indian National Congress,1746812,1299997,80696
2019,Bahraich,56,SC,Uttar Pradesh,Akshaibar Lal,Bharatiya Janta Party,1686646,989848,128752
2019,Balaghat,15,GEN,Madhya Pradesh,Dr Dhal Singh Bisen,Bharatiya Janta Party,1725505,1372018,242066
2019,Balasore,6,GEN,Orissa,Pratap Chandra Sarangi,Bharatiya Janta Party,1471650,1157871,12956
2019,Ballia,72,GEN,Uttar Pradesh,Virendra Singh,Bharatiya Janta Party,1792821,989732,15519
2019,Balurghat,6,GEN,West Bengal,Sukanta Majumdar,Bharatiya Janta Party,1543162,1197849,33293
2019,Banaskantha,2,GEN,Gujarat,Parbatbhai Savabhai Patel,Bharatiya Janta Party,1512076,1102081,368296
2019,Banda,48,GEN,Uttar Pradesh,R.K. Singh Patel,Bharatiya Janta Party,1659357,1034549,58938
2019,Bangalore Cent,25,GEN,Karnataka,P. C. Mohan,Bharatiya Janta Party,2165307,1197234,70968
2019,Bangalore Nort,24,GEN,Karnataka,D.V. Sadananda Gowda,Bharatiya Janta Party,2819424,1559459,147518
2019,Bangalore Rura,23,GEN,Karnataka,D.K. Suresh,Indian National Congress,1601076,1621906,206870
2019,Bangalore Sout,26,GEN,Karnataka,Tejasvi Surya,Bharatiya Janta Party,2175375,1188491,331192
2019,Bangaon,14,SC,West Bengal,Shantanu Thakur,Bharatiya Janta Party,1618541,1407758,111594
2019,Banka,27,GEN,Bihar,Giridhari Yadav,Janata Dal (United),1687940,995806,200532
2019,Bankura,36,GEN,West Bengal,Dr. Subhas Sarkar,Bharatiya Janta Party,1770248,1371855,174333
2019,Bansgaon,67,SC,Uttar Pradesh,Kamlesh Paswan,Bharatiya Janta Party,1748683,969136,153468
2019,Banswara,20,ST,Rajasthan,Kanakmal Katara,Bharatiya Janta Party,1920325,1439671,305464
2019,Bapatla,15,,Andhra Pradesh,Nandigam Suresh,Yuvajana Sramika Rythu Congress Party,1361646,1266492,16065
2019,Barabanki,53,SC,Uttar Pradesh,Upendra Singh Rawat,Bharatiya Janta Party,1762832,1155341,110140
2019,Baramati,35,GEN,Maharashtra,Supriya Sule,Nationalist Congress Party,2025795,1304728,155774
2019,Baramulla,1,,Jammu & Kashmir,Mohammad Akbar Lone,Jammu & Kashmir National Conference,1190745,455550,30233
2019,Barasat,17,GEN,West Bengal,Dr. Kakoli Ghoshdastidar,All India Trinamool Congress,1882204,1394766,109983
2019,Bardhaman Purb,38,SC,West Bengal,Sunil Kumar Mondal,All India Trinamool Congress,1836635,1439286,89311
2019,Bardoli,23,ST,Gujarat,Parbhubhai Nagarbhai Vasava,Bharatiya Janta Party,1779851,1348038,215447
2019,Bareilly,25,GEN,Uttar Pradesh,Santosh Kumar Gangwar,Bharatiya Janta Party,1760865,1068342,167282
2019,Bargarh,1,GEN,Orissa,Suresh Pujari,Bharatiya Janta Party,1530044,1247912,63939
2019,Barmer,17,GEN,Rajasthan,Kailash Choudhary,Bharatiya Janta Party,2320339,1422271,323808
2019,Barpeta,6,GEN,Assam,Abdul Khaleque,Indian National Congress,1449560,1458549,140307
2019,Barrackpore,15,GEN,West Bengal,Arjun Singh,Bharatiya Janta Party,1551157,1104517,14857
2019,Basirhat,18,GEN,West Bengal,Nusrat Jahan Ruhi,All India Trinamool Congress,1833511,1433339,350369
2019,Bastar,10,ST,Chhattisgarh,Deepak Baij,Indian National Congress,1357443,912846,38982
2019,Basti,61,GEN,Uttar Pradesh,Harish Chandra Alias Harish Dwivedi,Bharatiya Janta Party,1839900,1054539,30354
2019,Bathinda,11,GEN,Punjab,Harsimrat Kaur Badal,Shiromani Akali Dal,1589895,1200810,21772
2019,Beed,39,GEN,Maharashtra,Pritam Gopinathrao Munde,Bharatiya Janta Party,1621102,1352399,168368
2019,Begusarai,24,GEN,Bihar,Giriraj Singh,Bharatiya Janta Party,1942769,1225594,422217
2019,Belgaum,2,GEN,Karnataka,Angadi Suresh Channabasappa,Bharatiya Janta Party,1749746,1205229,391304
2019,Bellary,9,ST,Karnataka,Y. Devendrappa,Bharatiya Janta Party,1713330,1221926,55707
2019,Berhampur,20,GEN,Orissa,Chandra Sekhar Sahu,Biju Janata Dal,1433671,989910,94844
2019,Betul,29,ST,Madhya Pradesh,Durga Das (D.D.) UIKEY,Bharatiya Janta Party,1702517,1357857,360241
2019,Bhadohi,78,GEN,Uttar Pradesh,Ramesh Chand,Bharatiya Janta Party,1886673,1039390,43615
2019,Bhadrak,7,SC,Orissa,Manjulata Mandal,Biju Janata Dal,1583464,1223754,28803
2019,Bhagalpur,26,GEN,Bihar,Ajay Kumar Mandal,Janata Dal (United),1811980,1042518,277630
2019,Bhandara - Gon,11,GEN,Maharashtra,Sunil Baburao Mendhe,Bharatiya Janta Party,1756518,1244931,197394
2019,Bharatpur,9,SC,Rajasthan,Ranjeeta Koli,Bharatiya Janta Party,1897465,1146797,318399
2019,Bharuch,22,GEN,Gujarat,Mansukhbhai Dhanjibhai Vasava,Bharatiya Janta Party,1522113,1149725,334214
2019,Bhavnagar,15,GEN,Gujarat,Dr.Bharatiben Dhirubhai Shiyal,Bharatiya Janta Party,1734124,1041279,329519
2019,Bhilwara,23,GEN,Rajasthan,Subhash Chandra Baheria,Bharatiya Janta Party,1958631,1310513,612000
2019,Bhind,2,SC,Madhya Pradesh,Sandhya Ray,Bharatiya Janta Party,1711977,960687,199885
2019,Bhiwandi,23,GEN,Maharashtra,Kapil Moreshwar Patil,Bharatiya Janta Party,1785952,1005172,156329
2019,Bhiwani-Mahend,8,GEN,Haryana,Dharambir Singh S/o Bhale Ram,Bharatiya Janta Party,1566494,1161115,444463
2019,Bhongir,14,GEN,Telangana,Komati Reddy Venkat Reddy,Indian National Congress,1544683,1212631,5219
2019,Bhopal,19,GEN,Madhya Pradesh,Sadhvi Pragya Singh Thakur,Bharatiya Janta Party,2075376,1407954,364822
2019,Bhubaneswar,18,GEN,Orissa,Aparajita Sarangi,Bharatiya Janta Party,1600900,1005215,23839
2019,Bidar,7,GEN,Karnataka,Bhagwanth Khuba,Bharatiya Janta Party,1740232,1117167,116834
2019,Bijapur,4,SC,Karnataka,Jigajinagi Ramesh Chandappa,Bharatiya Janta Party,1777109,1111354,258038
2019,Bijnor,4,GEN,Uttar Pradesh,Malook Nagar,Bahujan Samaj Party,1619514,1100763,69941
2019,Bikaner,2,SC,Rajasthan,Arjun Ram Meghwal,Bharatiya Janta Party,1793022,1099598,264081
2019,Bilaspur,5,GEN,Chhattisgarh,Arun Sao,Bharatiya Janta Party,1811606,1209434,141763
2019,Birbhum,42,GEN,West Bengal,Satabdi Roy,All India Trinamool Congress,1587802,1449423,88924
2019,Bishnupur,37,SC,West Bengal,Khan Saumitra,Bharatiya Janta Party,1740964,1420648,78047
2019,Bolangir,10,GEN,Orissa,Sangeeta Kumari Singh Deo,Bharatiya Janta Party,1677774,1306705,19516
2019,Bolpur,41,SC,West Bengal,Asit Kumar Mal,All India Trinamool Congress,1864137,1461269,106402
2019,Bulandshahr,14,SC,Uttar Pradesh,Bhola Singh,Bharatiya Janta Party,1759305,1123629,290057
2019,Buldhana,5,GEN,Maharashtra,Jadhav Prataprao Ganpatrao,Shiv Sena,1977994,1120359,133287
2019,Burdwan - Durg,39,GEN,West Bengal,S.S Ahluwalia,Bharatiya Janta Party,1905750,1433007,2439
2019,Buxar,33,GEN,Bihar,Ashwini Kumar Choubey,Bharatiya Janta Party,1806004,986861,117609
2019,Chalakudy,11,GEN,Kerala,Benny Behanan,Indian National Congress,1163476,990224,132274
2019,Chamarajanagar,22,SC,Karnataka,V. Srinivas Prasad,Bharatiya Janta Party,1669209,1270658,1817
2019,Chandauli,76,GEN,Uttar Pradesh,Dr. Mahendra Nath Pandey,Bharatiya Janta Party,1696059,1084961,13959
2019,Chandigarh,1,GEN,Chandigarh,Kirron Kher,Bharatiya Janta Party,615214,456568,46970
2019,Chandni Chowk,1,GEN,Delhi,"Patni, Nitai Chand",Bharatiya Janta Party,1447228,980390,228145
2019,Chandrapur,13,GEN,Maharashtra,Balubhau Alias Suresh Narayan Dhanorkar,Indian National Congress,1846431,1238474,44763
2019,Chatra,4,GEN,Jharkhand,Sunil Kumar Singh,Bharatiya Janta Party,1375612,925937,377871
2019,Chelvella,10,GEN,Telangana,Dr. G. Ranjith Reddy,Telangana Rashtra Samithi,2302163,1300194,14317
2019,Chennai Centra,4,GEN,Tamil Nadu,Dayanidhi Maran,Dravida Munetra Kazhagam,1316388,785450,301520
2019,Chennai North,2,GEN,Tamil Nadu,Dr. Kalanidhi Veeraswamy,Dravida Munetra Kazhagam,1444753,955545,461518
2019,Chennai South,3,GEN,Tamil Nadu,T.Sumathy (A) THAMIZHACHI THANGAPANDIAN,Dravida Munetra Kazhagam,1916378,1125857,262223
2019,Chhindwara,16,GEN,Madhya Pradesh,Nakul Kamal Nath,Indian National Congress,1480503,1248031,37536
2019,Chhota Udaipur,21,ST,Gujarat,Rathva Gitaben Vajesingbhai,Bharatiya Janta Party,1433397,1232459,377943
2019,Chidambaram,27,SC,Tamil Nadu,Thirumaavalavan Thol,Viduthalai Chiruthaigal Katchi,1459769,1153192,3219
2019,Chikkballapur,27,GEN,Karnataka,B.N.Bache Gowda,Bharatiya Janta Party,1804143,1386963,182110
2019,Chikkodi,1,GEN,Karnataka,Annasaheb Shankar Jolle,Bharatiya Janta Party,1574203,1217549,118877
2019,Chitradurga,18,SC,Karnataka,A Narayanaswamy,Bharatiya Janta Party,1736643,1245950,80178
2019,Chittoor,25,,Andhra Pradesh,N. Reddeppa,Yuvajana Sramika Rythu Congress Party,1430405,1319472,137271
2019,Chittorgarh,21,GEN,Rajasthan,Chandra Prakash Joshi,Bharatiya Janta Party,1982095,1458760,576247
2019,Churu,3,GEN,Rajasthan,Rahul Kaswan,Bharatiya Janta Party,1962475,1328422,334402
2019,Coimbatore,20,GEN,Tamil Nadu,Natarajan. P.R,Communist Party Of India (Marxist),1909712,1250885,179143
2019,Cooch Behar,1,SC,West Bengal,Nisith Pramanik,Bharatiya Janta Party,1687773,1524683,54231
2019,Cuddalore,26,GEN,Tamil Nadu,T. R. V .S. Ramesh,Dravida Munetra Kazhagam,1342320,1043202,143983
2019,Cuttack,14,GEN,Orissa,Bhartruhari Mahtab,Biju Janata Dal,1460895,1059490,121201
2019,Dadra And Nagar Haveli,1,GEN,Dadra & Nagar Haveli,Delkar Mohanbhai Sanjibhai,Independent,196617,198983,9001
2019,Dahod,19,ST,Gujarat,Jashvantsinh Sumanbhai Bhabhor,Bharatiya Janta Party,1542941,1063212,127596
2019,Dakshina Kanna,17,GEN,Karnataka,Nalin Kumar Kateel,Bharatiya Janta Party,1698859,1345039,274621
2019,Daman And Diu,1,GEN,Daman & Diu,Lalubhai Babubhai Patel,Bharatiya Janta Party,111827,87469,9942
2019,Damoh,7,GEN,Madhya Pradesh,Prahalad Singh Patel,Bharatiya Janta Party,1737702,1164226,353411
2019,Darbhanga,14,GEN,Bihar,Gopal Jee Thakur,Bharatiya Janta Party,1644671,964996,267979
2019,Darjeeling,4,GEN,West Bengal,Raju Bista,Bharatiya Janta Party,1519531,1267270,413443
2019,Dausa,11,ST,Rajasthan,Jaskaur Meena,Bharatiya Janta Party,1692217,1062834,78444
2019,Davanagere,13,GEN,Karnataka,G M Siddeshwar,Bharatiya Janta Party,1613781,1194586,169702
2019,Deoria,66,GEN,Uttar Pradesh,Ramapati Ram Tripathi,Bharatiya Janta Party,1751752,1015363,249931
2019,Dewas,21,SC,Madhya Pradesh,Mahendra Singh Solanky,Bharatiya Janta Party,1718488,1398946,372249
2019,Dhanbad,7,GEN,Jharkhand,Pashupati Nath Singh,Bharatiya Janta Party,2050314,1252817,486194
2019,Dhar,25,ST,Madhya Pradesh,Chattarsingh Darbar,Bharatiya Janta Party,1752846,1344132,156029
2019,Dharmapuri,10,GEN,Tamil Nadu,Dnv Senthilkumar. S.,Dravida Munetra Kazhagam,1453257,1223205,70753
2019,Dharwad,11,GEN,Karnataka,Pralhad Joshi,Bharatiya Janta Party,1687290,1213505,205072
2019,Dhaurahra,29,GEN,Uttar Pradesh,Rekha Verma,Bharatiya Janta Party,1604211,1063840,160611
2019,Dhenkanal,9,GEN,Orissa,Mahesh Sahoo,Biju Janata Dal,1461182,1131522,35412
2019,Dhubri,4,GEN,Assam,Badruddin Ajmal,All India United Democratic Front,1799561,1685005,226258
2019,Dhule,2,GEN,Maharashtra,Bhamre Subhash Ramrao,Bharatiya Janta Party,1787801,1085038,229243
2019,Diamond Harbou,21,GEN,West Bengal,Abhishek Banerjee,All India Trinamool Congress,1873955,1409002,320594
2019,Dibrugarh,13,GEN,Assam,Rameswar Teli,Bharatiya Janta Party,1265748,1015748,364566
2019,Dindigul,22,GEN,Tamil Nadu,"Velusamy, P.",Dravida Munetra Kazhagam,1518633,1160046,538972
2019,Dindori,20,ST,Maharashtra,Dr. Bharati Pravin Pawar,Bharatiya Janta Party,1651955,1137631,198779
2019,Domariyaganj,60,GEN,Uttar Pradesh,Jagdambika Pal,Bharatiya Janta Party,1894047,985269,105321
2019,Dum Dum,16,GEN,West Bengal,Sougata Ray,All India Trinamool Congress,1699710,1204660,53002
2019,Dumka,2,ST,Jharkhand,Sunil Soren,Bharatiya Janta Party,1349843,1025968,47590
2019,Durg,7,GEN,Chhattisgarh,Vijay Baghel,Bharatiya Janta Party,1878677,1391996,391978
2019,East Delhi,3,GEN,Delhi,Jadunandan Prasad,Bharatiya Janta Party,1829578,1257821,391222
2019,Eluru,10,,Andhra Pradesh,Kotagiri Sridhar,Yuvajana Sramika Rythu Congress Party,1418277,1327923,165925
2019,Ernakulam,12,GEN,Kerala,Hibi Eden,Indian National Congress,1190575,967203,169153
2019,Erode,17,GEN,Tamil Nadu,Ganeshamurthi A,Dravida Munetra Kazhagam,1427534,1067863,210618
2019,Etah,22,GEN,Uttar Pradesh,Rajveer Singh (Raju Bhaiya),Bharatiya Janta Party,1587949,999607,122670
2019,Etawah,41,SC,Uttar Pradesh,Dr Ram Shankar Katheria,Bharatiya Janta Party,1714935,1027815,64437
2019,Faizabad,54,GEN,Uttar Pradesh,Lallu Singh,Bharatiya Janta Party,1783699,1087121,65477
2019,Faridabad,10,GEN,Haryana,Krishan Pal,Bharatiya Janta Party,1926323,1327295,638239
2019,Faridkot,9,SC,Punjab,Mohammad Sadique,Indian National Congress,1515062,974947,83256
2019,Farrukhabad,40,GEN,Uttar Pradesh,Mukesh Rajput,Bharatiya Janta Party,1661488,1002953,221702
2019,Fatehgarh Sahi,8,SC,Punjab,Amar Singh,Indian National Congress,1470008,985948,93898
2019,Fatehpur,49,GEN,Uttar Pradesh,Niranjan Jyoti,Bharatiya Janta Party,1783535,1043655,198205
2019,Fatehpur Sikri,19,GEN,Uttar Pradesh,Rajkumar Chahar,Bharatiya Janta Party,1660405,1037151,495065
2019,Ferozpur,10,GEN,Punjab,Sukhbir Singh Badal,Shiromani Akali Dal,1587296,1172033,198850
2019,Firozabad,20,GEN,Uttar Pradesh,Dr. Chandra Sen Jadon,Bharatiya Janta Party,1698385,1075866,28781
2019,Gadchiroli-Chi,12,ST,Maharashtra,Ashok Mahadeorao Nete,Bharatiya Janta Party,1522662,1142698,77526
2019,Gandhinagar,6,GEN,Gujarat,Amit Shah,Bharatiya Janta Party,1874564,1284090,557014
2019,Ganganagar,1,SC,Rajasthan,Nihal Chand,Bharatiya Janta Party,1901409,1451765,406978
2019,Garhwal,2,GEN,Uttarakhand,Tirath Singh Rawat,Bharatiya Janta Party,1295238,742784,302669
2019,Gauhati,7,GEN,Assam,Queen Oja,Bharatiya Janta Party,1930145,1763757,345606
2019,Gautam Buddh N,13,GEN,Uttar Pradesh,Dr. Mahesh Sharma,Bharatiya Janta Party,2107718,1392952,336922
2019,Gaya,38,SC,Bihar,Vijay Kumar,Janata Dal (United),1698772,957248,152426
2019,Ghatal,32,GEN,West Bengal,Adhikari Deepak (DEV),All India Trinamool Congress,1931027,1488818,107973
2019,Ghaziabad,12,GEN,Uttar Pradesh,Vijay Kumar Singh,Bharatiya Janta Party,2573715,1524456,501500
2019,Ghazipur,75,GEN,Uttar Pradesh,Afzal Ansari,Bahujan Samaj Party,1832844,1105627,119392
2019,Ghosi,70,GEN,Uttar Pradesh,Atul Kumar Singh,Bahujan Samaj Party,1945291,1140781,122568
2019,Giridih,6,GEN,Jharkhand,Chandra Prakash Choudhary,All Jharkhand Students Union,1625806,1106918,248347
2019,Godda,3,GEN,Jharkhand,Nishikant Dubey,Bharatiya Janta Party,1683948,1194036,184227
2019,Gonda,59,GEN,Uttar Pradesh,Kirti Vardhan Singh Alias Raja Bhaiya,Bharatiya Janta Party,1744625,923816,166360
2019,Gopalganj,17,SC,Bihar,Dr. Alok Kumar Suman,Janata Dal (United),1832200,1024876,286434
2019,Gorakhpur,64,GEN,Uttar Pradesh,Ravindra Shyamnarayan Shukla Alias Ravi Kishan,Bharatiya Janta Party,1960935,1184635,301664
2019,Gulbarga,5,SC,Karnataka,Dr. Umesh G Jadhav,Bharatiya Janta Party,1920070,1189361,95452
2019,Guna,4,GEN,Madhya Pradesh,"Krishna Pal Singh ""dr. K. P. Yadav""",Bharatiya Janta Party,1631451,1178423,125549
2019,Guntur,13,,Andhra Pradesh,Jayadev Galla,Telugu Desam,1486993,1351474,4205
2019,Gurdaspur,1,GEN,Punjab,Sunny Deol,Bharatiya Janta Party,1535937,1103887,82459
2019,Gurgaon,9,GEN,Haryana,Rao Inderjit Singh,Bharatiya Janta Party,1990711,1446509,386256
2019,Gwalior,3,GEN,Madhya Pradesh,Vivek Narayan Shejwalkar,Bharatiya Janta Party,1938511,1196096,146842
2019,Hajipur,21,SC,Bihar,Pashu Pati Kumar Paras,Lok Jan Shakti Party,1810137,1006817,205449
2019,Hamirpur,3,GEN,Himachal Pradesh,Anurag Singh Thakur,Bharatiya Janta Party,1247699,988765,399572
2019,Hamirpur,47,GEN,Uttar Pradesh,Kunwar Pushpendra Singh Chandel,Bharatiya Janta Party,1715940,1089778,248652
2019,Hardoi,31,SC,Uttar Pradesh,Jai Prakash,Bharatiya Janta Party,1775274,1057558,132474
2019,Hardwar,5,GEN,Uttarakhand,Ramesh Pokhriyal 'nishank',Bharatiya Janta Party,1785889,1271030,258729
2019,Hassan,16,GEN,Karnataka,Prajwal Revanna,Janata Dal (Secular),1630952,1277552,141324
2019,Hathras,16,SC,Uttar Pradesh,Rajvir Diler,Bharatiya Janta Party,1799499,1150294,260208
2019,Hatkanangle,48,GEN,Maharashtra,Dhairyasheel Sambhajirao Mane,Shiv Sena,1693449,1252211,96039
2019,Haveri,10,GEN,Karnataka,Udasi. S.C.,Bharatiya Janta Party,1680025,1266679,140882
2019,Hazaribagh,14,GEN,Jharkhand,Jayant Sinha,Bharatiya Janta Party,1518831,1080929,479548
2019,Hindupur,20,,Andhra Pradesh,Kuruva Gorantla Madhav,Yuvajana Sramika Rythu Congress Party,1434282,1338514,140748
2019,Hingoli,15,GEN,Maharashtra,Hemant Patil,Shiv Sena,1659433,1157516,277856
2019,Hisar,4,GEN,Haryana,Brijendra Singh,Bharatiya Janta Party,1558281,1179869,314068
2019,Hooghly,28,GEN,West Bengal,Locket Chatterjee,Bharatiya Janta Party,1373449,1457842,73362
2019,Hoshangabad,17,GEN,Madhya Pradesh,Uday Pratap Singh,Bharatiya Janta Party,1650087,1265869,553682
2019,Hoshiarpur,5,SC,Punjab,Som Parkash,Bharatiya Janta Party,1548898,990791,48530
2019,Howrah,25,GEN,West Bengal,Prasun Banerjee,All India Trinamool Congress,1796175,1222293,103695
2019,Hyderabad,9,GEN,Telangana,Asaduddin Owaisi,All India Majlis-E-Ittehadul Muslimeen,1927685,877872,282186
2019,Idukki,13,GEN,Kerala,Adv. Dean Kuriakose,Indian National Congress,1160824,919297,171053
2019,Indore,26,GEN,Madhya Pradesh,Shankar Lalwani,Bharatiya Janta Party,2235342,1629108,547754
2019,Inner Manipur,1,GEN,Manipur,Dr Rajkumar Ranjan Singh,Bharatiya Janta Party,855359,759301,17755
2019,Jabalpur,13,GEN,Madhya Pradesh,Rakesh Singh,Bharatiya Janta Party,1767369,1263573,454744
2019,Jadavpur,22,GEN,West Bengal,Mimi Chakraborty,All India Trinamool Congress,1990328,1436894,295239
2019,Jagatsinghpur,16,SC,Orissa,Rajashree Mallick,Biju Janata Dal,1584635,1229190,271655
2019,Jahanabad,36,GEN,Bihar,Chandeshwar Prasad,Janata Dal (United),1573907,822065,1751
2019,Jaipur,7,GEN,Rajasthan,Ramcharan Bohra,Bharatiya Janta Party,2043881,1456404,430626
2019,Jaipur Rural,6,GEN,Rajasthan,Col. Rajyavardhan Rathore,Bharatiya Janta Party,1897332,1276693,393171
2019,Jajpur,8,SC,Orissa,Sarmistha Sethi,Biju Janata Dal,1413322,1092084,101693
2019,Jalandhar,4,SC,Punjab,Santokh Singh Chaudhary,Indian National Congress,1574968,1018998,19491
2019,Jalaun,45,SC,Uttar Pradesh,Bhanu Pratap Singh Verma,Bharatiya Janta Party,1470521,1129955,158377
2019,Jalgaon,3,GEN,Maharashtra,Unmesh Bhaiyyasaheb Patil,Bharatiya Janta Party,1845368,1088277,411617
2019,Jalna,18,GEN,Maharashtra,Danve Raosaheb Dadarao,Bharatiya Janta Party,1765712,1208139,332815
2019,Jalore,18,GEN,Rajasthan,Devaji Patel,Bharatiya Janta Party,1600603,1361619,261110
2019,Jalpaiguri,3,SC,West Bengal,Dr. Jayanta Kumar Roy,Bharatiya Janta Party,1618231,1500922,184004
2019,Jammu,6,,Jammu & Kashmir,Jugal Kishore,Bharatiya Janta Party,1848155,1478795,302875
2019,Jamnagar,12,GEN,Gujarat,Poonamben Hematbhai Maadam,Bharatiya Janta Party,1615693,1010965,236804
2019,Jamshedpur,9,GEN,Jharkhand,Bidyut Baran Mahato,Bharatiya Janta Party,1658549,1144226,302090
2019,Jamui,40,SC,Bihar,Chirag Kumar Paswan,Lok Jan Shakti Party,1709356,949137,241049
2019,Jangipur,9,GEN,West Bengal,Khalilur Rahaman,All India Trinamool Congress,1713293,1304504,245782
